,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
6253,2011,Fine And Applied Arts,Instrumental Music,89.0,49.0,40.0,58.0,15.0,2.0,5.0,0.0,0.82
6252,2011,Fine And Applied Arts,Industrial Design,117.0,63.0,54.0,47.0,23.0,5.0,9.0,0.0,0.86
6250,2011,Fine And Applied Arts,Graphic Design,70.0,43.0,27.0,48.0,13.0,2.0,5.0,0.0,0.63
6024,2010,Fine And Applied Arts,Art Education,91.0,73.0,18.0,74.0,2.0,1.0,4.0,0.0,0.25
6023,2010,Fine And Applied Arts,Architecture,190.0,88.0,102.0,117.0,13.0,7.0,15.0,0.0,1.16
6022,2010,Fine And Applied Arts,Architectural Studies,505.0,214.0,291.0,332.0,45.0,9.0,41.0,1.0,1.36
6015,2010,Fine And Applied Arts,Nondegree,201.0,32.0,169.0,52.0,3.0,2.0,3.0,0.0,5.28
5949,2010,Fine And Applied Arts,Nondegree,75.0,39.0,36.0,47.0,0.0,1.0,2.0,0.0,0.92
5973,2010,Fine And Applied Arts,Nondegree,61.0,22.0,39.0,0.0,0.0,0.0,0.0,0.0,1.77
6027,2010,Fine And Applied Arts,Art And Design,38.0,18.0,20.0,22.0,1.0,0.0,1.0,0.0,1.11
6029,2010,Fine And Applied Arts,Dance,79.0,71.0,8.0,55.0,3.0,15.0,6.0,0.0,0.11
6103,2010,Fine And Applied Arts,Nondegree,164.0,82.0,82.0,61.0,6.0,2.0,6.0,1.0,1.0
6030,2010,Fine And Applied Arts,Graphic Design,67.0,42.0,25.0,46.0,14.0,3.0,1.0,0.0,0.6
6042,2010,Fine And Applied Arts,Nondegree,21.0,13.0,8.0,9.0,2.0,1.0,0.0,0.0,0.62
6050,2010,Fine And Applied Arts,Voice,32.0,26.0,6.0,27.0,2.0,2.0,1.0,0.0,0.23
6049,2010,Fine And Applied Arts,Urban Planning,149.0,64.0,85.0,82.0,11.0,17.0,16.0,0.0,1.33
6048,2010,Fine And Applied Arts,Theatre,176.0,104.0,71.0,124.0,2.0,14.0,14.0,0.0,0.68
6044,2010,Fine And Applied Arts,Painting,35.0,26.0,9.0,19.0,4.0,1.0,6.0,0.0,0.35
6041,2010,Fine And Applied Arts,New Media,25.0,17.0,8.0,22.0,1.0,0.0,0.0,0.0,0.47
6038,2010,Fine And Applied Arts,Music Education,210.0,106.0,104.0,179.0,13.0,4.0,8.0,0.0,0.98
6036,2010,Fine And Applied Arts,Music,357.0,184.0,173.0,185.0,14.0,7.0,13.0,0.0,0.94
6035,2010,Fine And Applied Arts,Landscape Architecture,127.0,63.0,64.0,84.0,7.0,2.0,7.0,0.0,1.02
6034,2010,Fine And Applied Arts,Jazz Performance,33.0,6.0,27.0,28.0,1.0,3.0,1.0,0.0,4.5
6033,2010,Fine And Applied Arts,Instrumental Music,82.0,48.0,34.0,54.0,12.0,1.0,4.0,0.0,0.71
6032,2010,Fine And Applied Arts,Industrial Design,112.0,59.0,53.0,50.0,24.0,2.0,10.0,0.0,0.9
6045,2010,Fine And Applied Arts,Photography,36.0,27.0,9.0,29.0,0.0,2.0,4.0,0.0,0.33
5814,2009,Fine And Applied Arts,Art And Design,45.0,27.0,18.0,22.0,4.0,0.0,1.0,2.0,0.67
5811,2009,Fine And Applied Arts,Art Education,89.0,70.0,19.0,72.0,6.0,1.0,5.0,1.0,0.27
5810,2009,Fine And Applied Arts,Architecture,194.0,79.0,115.0,111.0,19.0,4.0,13.0,1.0,1.46
5809,2009,Fine And Applied Arts,Architectural Studies,554.0,235.0,319.0,379.0,61.0,15.0,50.0,2.0,1.36
5803,2009,Fine And Applied Arts,Nondegree,196.0,42.0,154.0,42.0,6.0,0.0,3.0,0.0,3.67
5737,2009,Fine And Applied Arts,Nondegree,48.0,26.0,22.0,25.0,2.0,0.0,3.0,1.0,0.85
5817,2009,Fine And Applied Arts,Graphic Design,64.0,41.0,23.0,42.0,15.0,1.0,1.0,0.0,0.56
5762,2009,Fine And Applied Arts,Nondegree,42.0,14.0,28.0,3.0,2.0,1.0,0.0,0.0,2.0
5816,2009,Fine And Applied Arts,Dance,82.0,72.0,10.0,59.0,3.0,11.0,6.0,0.0,0.14
5819,2009,Fine And Applied Arts,Industrial Design,117.0,61.0,56.0,61.0,19.0,2.0,11.0,0.0,0.92
5888,2009,Fine And Applied Arts,Nondegree,158.0,91.0,67.0,36.0,9.0,4.0,3.0,0.0,0.74
